#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
820003,43225,22.5144,-0.28,-1.12,-0.927,0.008,-0.002,1.028,-24.6,-5.2,10.5,
830001,43235,22.5144,-0.297,-1.172,-0.91,0.008,-0.003,1.028,-24.6,-5.1,10.9,
840004,43245,22.5144,-0.297,-1.225,-0.875,0.008,-0.002,1.027,-23.5,-4.9,10.9,
850001,43255,22.5144,-0.192,-1.19,-0.892,0.007,-0.005,1.027,-24,-4.9,10.6,
860002,43265,22.5144,-0.122,-1.155,-0.892,0.007,-0.004,1.028,-24.3,-4.3,10.9,
870001,43275,22.5144,-0.07,-1.19,-0.892,0.007,-0.005,1.027,-23.5,-4.2,10.9,
880004,43285,22.5144,0.017,-1.137,-0.857,0.007,-0.003,1.029,-24,-5.1,10.9,
890001,43295,22.5144,0.017,-1.207,-0.857,0.008,-0.003,1.026,-25,-3.9,12.1,
900003,43305,22.4952,-0.122,-1.26,-0.822,0.009,-0.002,1.027,-24.6,-5.5,11.2,
910001,43315,22.4952,-0.105,-1.26,-0.84,0.01,-0.001,1.028,-23.7,-4.6,10.8,
920004,43325,22.4952,-0.14,-1.19,-0.822,0.011,0,1.027,-24.3,-4.5,11.2,
930001,43335,22.4952,-0.157,-1.172,0.63,0,0.016,1.028,-24.7,-4.5,11.1,
940003,43345,22.4952,-0.262,-1.225,7.157,0.011,-0.004,1.028,-24.7,-4.6,10.6,
950001,43355,22.4952,-0.35,-1.347,7.07,0.006,-0.006,1.028,-24.7,-4,10.3,
960004,43365,22.4952,-0.805,-1.785,6.265,-0.061,-0.057,1.03,-24.7,-5.2,11.1,
970001,43375,22.4952,-4.305,-5.022,5.827,0.022,0.016,1.03,-24,-4.9,10.5,
980003,43385,22.476,-4.812,-5.6,2.87,0.013,-0.018,1.027,-24.7,-4.9,11.2,
990001,43395,22.476,-2.642,-3.517,0.735,0.046,0.009,1.027,-24.3,-5.4,11.7,
1000006,43405,22.476,0.525,-0.332,-0.42,0.029,-0.004,1.026,-24.4,-5.1,11.4,
1010001,43415,22.476,3.272,2.345,-0.945,0.021,-0.001,1.03,-24.7,-4.8,10.8,
1020003,43425,22.476,4.077,2.992,-2.677,0.024,-0.001,1.026,-24.3,-4.6,11.2,
1030001,43435,22.476,2.695,1.505,-5.547,0.012,0.022,1.029,-24.6,-4.6,11.1,
1040004,43445,22.476,0.122,-0.91,-4.112,0.016,0.008,1.029,-24,-4.2,11.2,
1050001,43455,22.476,-0.262,-1.207,-2.362,-0.002,-0.006,1.026,-23.8,-4,10.3,
1060002,43465,22.476,-0.385,-1.417,-1.032,0.002,-0.006,1.028,-23.8,-4.5,10.3,
1070001,43475,22.476,-1.015,-1.977,-0.91,-0.004,-0.007,1.029,-24.1,-4.9,11.2,
1080004,43485,22.476,-2.152,-3.132,-0.752,0,-0.012,1.027,-23.5,-5.2,11.1,
1090001,43495,22.476,-1.837,-2.765,0.595,0.002,-0.009,1.028,-24.1,-4.2,10.8,
1100003,43505,22.476,-1.19,-2.03,1.557,0.011,-0.014,1.028,-23.4,-4.3,10.6,
1110001,43515,22.476,0.175,-0.857,-0.035,0.014,-0.009,1.027,-24.1,-4.6,10.9,
1120004,43525,22.476,1.347,0.262,-0.752,0.012,0,1.028,-24.1,-4.6,10.5,
1130001,43535,22.476,1.365,0.332,-0.787,0.011,0.003,1.028,-23.7,-4.9,10.6,
1140003,43545,22.476,0.665,-0.297,-0.805,0.012,0.004,1.028,-23.7,-3.9,10.6,
1150001,43555,22.476,0,-0.857,-0.787,0.013,0.002,1.028,-24.4,-4,11.5,
1160004,43565,22.476,-0.07,-0.875,-0.245,0.012,0.005,1.028,-24.3,-4.5,10.8,
1170001,43575,22.476,-0.035,-0.84,0.647,0.014,-0.003,1.029,-23.4,-4.8,10.8,
1180002,43585,22.476,0.052,-0.822,-0.647,0.01,0,1.029,-22.9,-4.5,11.1,
1190001,43595,22.476,0.035,-0.927,-0.84,0.008,-0.001,1.027,-24.3,-4.6,10.9,
1200004,43605,22.476,-0.227,-1.12,4.025,0.112,-0.033,1.029,-24.9,-4.3,10.9,
1210001,43615,22.476,0,-1.015,8.627,-0.092,0.027,1.029,-24.1,-4.5,11.4,
